Question_1,Question_2,flag
"Go to Login → Get Started → DATA ADMINISTRATION WITH GRAPH Select tree/file from dropdown list. Click Delete.
",what... whose version is the output?,0
"Yes, no problem.
","Yes, no p!roQblem.",1
"Sorry I don’t know
","Hell2o, I can ’ t fqind my _tUesting caZses? Can you help me?",0
"3. Double click near the tree to zoom-in.
",Expected ou tput is generated fr om the output t ree. Application o utput is generated after the ex ecution of t est cases. Ex pected output tree wi ll be us ed to compare actual application outp ut to rate the quality 。,0
"Correct, with using the same input and context group.",You ' re w elcome.,0
Can I change the node color?,Will you support multi - suer access alter?,0
It’s needed to simplify the work,You can mode omuse oevr the onde. Right lcick on it and option to edlete the node will be dislpayde.,0
"Move mouse over the node. Right click on it and option to delete the node will be displayed.
",hangs up over adjacent node. only jump on it while option to delete the node will be displayed.,1
"The webpage was frozen when I was creating the context tree. If I refresh this page, will I lose my records?","The w ebpage was frozen when I was creating the con text t ree. If I refre sh t his pa ge, will I lose my r ecords?",1
"I am sorry. Users are not allowed to do that directly. Nodes and child Nodes are sorted based on name (A-Z) after each action (add, delete and rename).
","Yes, you do ne ed to do t hat.",0
Can multiple users share a project and work together?,Can multiple userPs share a pr5ojecct and work toXgetHher?,1
Sounds great. How can I delete nodes from input classification?,just which stage?,0
Can I have 20 child nodes for the parents nodes?,live sure. 0 navigation : login → first get it started → data administration with graph and move mouse all over on the node. right click on it and an option to completely delete the next node will be displayed,0
Thanks for you help. Can I upload an excel file?,Thanks for you ehlp. Can I uploda an excel fiel?,1
"No. If user deleted input/context test case then user will need to retrigger the generate test case action.
","H ere, you me an at ea ch l evel. Is the re an upper limit on the t otal levels of nodes?",0
"Sure. You can upload your own tree by using JSON file.
",Sure. You can upload your own rtee by using JSNO ifle.,1
"The tree should have only three levels.
",that tree should have had three levels.,1
"Sure.There is a plus(+) symbol on the popup window. With this you can add as many nodes required, then click create to add nodes to the tree.
",copy tree it is to copy the old tree,0
"Did you save it? You can only restore records from the saved tree. If you didn't, you'll lose all the info.
",there is no plan like,0
"We will issue new resources once core functionality is built.
",sure. and you can choose online to instantly upload files or create online.,0
"You can try Navigation : Login → Get Started → DATA ADMINISTRATION WITH GRAPH Move mouse over the node.Right click on it and option to delete the node will be displayed.
",you can try navigation : login → get started → open data search administration key with touch graph move mouse over on the node. right as click on it node and option to simultaneously delete the node parameters will still be displayed.,1
 Do you suggest not to use this?,then what format does calling the app support?,0
You mean if I refresh I will lose what I have built so far!?,You mea if I rfres I will lose hat I have buil so far!?,1
